,name,replies,views,last_posted_at,len_name,weird_characters
0,Alstonia Residence @ Bandar Sungai Long,80,"5,013",2020-07-21,39,False
1,NIDOZ RESIDENCES @DESA PETALING | RESIDENSI D'NURI,"3,506","592,484",2020-07-21,50,False
2,URBANO - FINAL PHASE of UTROPOLIS GLENMARIE,296,"33,442",2020-07-21,43,False
3,SKYVOGUE RESIDENCE @ TAMAN DANAU DESA,213,"34,708",2020-07-21,37,False
4,ROSEWOODZ @ BUKIT JALIL BY EXISM,179,"27,959",2020-07-21,32,False
5,HOC is back soon,157,"13,590",2020-07-21,16,False
6,PINNACLE ARA DAMANSARA,59,"25,240",2020-07-21,22,False
7,KUCHAI SENTRAL @ KUCHAI LAMA,130,"20,219",2020-07-21,28,False
8,WANGSA 9 RESIDENCY ,805,"115,535",2020-07-21,19,False
9,SUNWAY SERENE @ KELANA JAYA,728,"122,404",2020-07-21,27,False
10,THE PARAISO RESIDENCE | IMPIANA SKY BUKIT JALIL,751,"133,228",2020-07-21,47,False
11,RES DESA SATUMAS | DESA SENTRAL | THE HIPSTER,305,"65,954",2020-07-21,45,False
12,TUAI RESIDENCE @ SETIA ALAM,55,"5,454",2020-07-21,27,False
13,"VERDI ECO-DOMINIUMS, SYMPHONY HILLS CYBERJAYA ",707,"62,947",2020-07-21,46,False
14,TUAN RESIDENCY @ JALAN KUCHING,138,"19,259",2020-07-21,30,False
15,M101 SKYWHEEL KUALA LUMPUR,497,"73,700",2020-07-21,26,False
16,TUAN RESIDENCY 2 @ JALAN KUCHING,5,302,2020-07-20,32,False
17,Australia Property,269,"20,322",2020-07-20,18,False
18,M CENTURA @ JALAN SENTUL PASAR,823,"106,438",2020-07-20,30,False
19,KENWINGSTON PLATZ @ JALAN GOMBAK,293,"32,643",2020-07-20,32,False
20,NOVUM @ SOUTH BANGSAR ,"1,242","261,332",2020-07-20,22,False
21,The Link 2,"1,784","253,624",2020-07-20,10,False
22,"SKYMERIDIEN @ SKYCITY, SENTUL EAST",793,"118,921",2020-07-20,34,False
23,TRINITY PENTAMONT @ MONT KIARA,364,"70,883",2020-07-20,30,False
24,NEST 2 @ OLD KLANG ROAD,51,"1,501",2020-07-20,23,False
25,TROPICANA AMAN | BAYAN | CHERIA | DALIA ,"1,191","161,963",2020-07-20,40,False
26,VERVE® SUITES @ KL SOUTH ,591,"79,729",2020-07-20,25,False
27,M ADORA @ WANGSA MELAWATI,105,"14,841",2020-07-20,25,False
28,BANGSAR HILLPARK,27,"4,333",2020-07-20,16,False
