,formatted_address,replies,views,views_replies_ratio,last_posted_at,recency,latitude,longitude,replies_score,views_score,recency_score,views_replies_ratio_score,total_score
0,"#13-07, Block B2, Jalan Mutiara Emas 9/23 Taman Mount Austin, Taman Mount Austin, 81100 Johor Bahru, Johor, Malaysia",3,272,0.011029411764705883,2014-06-14,2230.0,1.5460159,103.7848882,2,1,3,5,4
1,"#G-01, Block 8, Danga Bay, Jalan Bertingkat Skudai, Danga Bay, 80200 Johor Bahru, Johor, Malaysia",9,667,0.013493253373313344,2015-12-14,1682.0,1.4827517,103.7183229,3,2,5,5,60
2,"009, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",0,458,0.0,2010-09-10,3603.0,3.1448866,101.7109328,1,2,1,1,10
3,"03, Jalan PJS 10/11A, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",17,2762,0.006990239146018706,2016-06-28,1925.5,3.0789397999999997,101.6058885,5,5,4,3,20
4,"1, Changkat Raja Chulan, Bukit Ceylon, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66,16399,0.004024635648515153,2020-07-13,9.0,3.1496267999999996,101.70514200000001,7,8,10,2,504
5,"1, F-11-01, Jalan USJ 25/1B, One City, 47650 Subang Jaya, Selangor, Malaysia",2,1311,0.0015255530129672007,2011-02-07,3453.0,3.0220225,101.5802255,2,4,1,1,4
6,"1, Jalan 14/1, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",6,852,0.007042253521126761,2012-11-21,2800.0,3.10553,101.63549990000001,3,3,2,3,60
7,"1, Jalan 9/116B, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",194,23763,0.00816395236291714,2020-06-12,40.0,3.0861249,101.69056690000001,8,8,9,4,144
8,"1, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",12,7037,0.0017052721330112265,2013-12-31,2395.0,3.1269972999999998,101.6766849,4,6,3,1,320
9,"1, Jalan Besi Kawi, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",7,893,0.007838745800671893,2014-04-08,2297.0,3.0976437999999997,101.7017528,3,3,3,4,60
10,"1, Jalan Cemur, Titiwangsa Sentral, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",70,5991,0.011684192956100818,2013-03-19,2682.0,3.1711822999999995,101.6964574,7,6,2,5,504
11,"1, Jalan Dagang SB 4/1, Mines Wellness City, 43300 Seri Kembangan, Selangor, Malaysia",96,18004,0.005332148411464119,2020-02-21,152.0,3.0260322,101.71642159999999,7,8,9,2,504
12,"1, Jalan Dato Keramat, George Town, 10150 George Town, Pulau Pinang, Malaysia",10,596,0.016778523489932886,2014-10-09,2113.0,5.4116995,100.32575609999999,4,2,4,5,320
13,"1, Jalan Dawai 16/2, Seksyen 16, 40200 Shah Alam, Selangor, Malaysia",2,242,0.008264462809917356,2014-09-26,2126.0,3.058014,101.5076761,2,1,3,4,4
