,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"43200 Cheras, Selangor, Malaysia",ChIJvWc56lAzzDERYxQt4_SgY4w,Alstonia Residence @ Bandar Sungai Long,3.0423069,101.8077217,1,43200,OK,"establishment,point_of_interest"
1,ROOFTOP,"No.22A, Jalan 2/125, Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJx92pKHFKzDERPyyYpF1Mb4s,NIDOZ RESIDENCES @DESA PETALING | RESIDENSI D'NURI,3.0850971,101.7001606,1,57100,OK,"establishment,general_contractor,point_of_interest"
2,GEOMETRIC_CENTER,"Jalan Kontraktor U1/14, Hicom-glenmarie Industrial Park, 40150 Shah Alam, Selangor, Malaysia",ChIJFwjgtLBNzDERZRxwW_Xi71Q,URBANO - FINAL PHASE of UTROPOLIS GLENMARIE,3.0911857,101.5588262,1,40150,OK,"establishment,general_contractor,point_of_interest"
3,GEOMETRIC_CENTER,"Old Klang Road, Jalan 1/109f, Taman Danau Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJCRomMmlKzDER-MyNnBSyHYQ,SKYVOGUE RESIDENCE @ TAMAN DANAU DESA,3.0973347,101.6885139,1,58100,OK,"establishment,point_of_interest,real_estate_agency"
4,GEOMETRIC_CENTER,"Bukit OUG, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJGWoFw_ZLzDER8doF07N1KCc,ROSEWOODZ @ BUKIT JALIL BY EXISM,3.0624978,101.665503,1,58200,OK,"establishment,point_of_interest"
5,,,,HOC is back soon,,,0,,ZERO_RESULTS,
6,APPROXIMATE,"Ara Damansara, Petaling Jaya, Selangor, Malaysia",ChIJlXIaW4VOzDERNxuLfpH9I-g,PINNACLE ARA DAMANSARA,3.1244431,101.583075,1,,OK,"political,sublocality,sublocality_level_1"
7,ROOFTOP,"1, Jalan Kuchai Maju 9, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJAZxFempKzDERKZuWS7Ggf1g,KUCHAI SENTRAL @ KUCHAI LAMA,3.0886896,101.6851257,1,58200,OK,"establishment,point_of_interest"
8,GEOMETRIC_CENTER,"Jalan Wangsa Perdana 1, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJiduIWCU4zDERvD9kHcr6U9g,WANGSA 9 RESIDENCY ,3.198552,101.7393643,1,53300,OK,"establishment,point_of_interest"
9,ROOFTOP,"PT5223, Jalan SS8/2, Ss 7, 47301 Petaling Jaya, Selangor, Malaysia",ChIJK2OowXFMzDERzl7kmkQ8XQg,SUNWAY SERENE @ KELANA JAYA,3.0872087,101.605254,1,47301,OK,"establishment,general_contractor,point_of_interest"
10,GEOMETRIC_CENTER,"The Earth @ Bukit Jalil, 43300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJgf5hRttKzDERHL4GGYlpGkk,THE PARAISO RESIDENCE | IMPIANA SKY BUKIT JALIL,3.0456461,101.6720927,2,43300,OK,"establishment,point_of_interest"
11,GEOMETRIC_CENTER,"Jalan Desa, Taman Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJr9h-NUhLzDER7iyF3uwz8A4,RES DESA SATUMAS | DESA SENTRAL | THE HIPSTER,3.0976524,101.689805,1,58100,OK,"establishment,general_contractor,point_of_interest"
12,ROOFTOP,"lot 98513, Persiaran Setia Damai, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",ChIJO8xAfE1TzDERJwDLKx1qKzA,TUAI RESIDENCE @ SETIA ALAM,3.0932786,101.4705182,2,40170,OK,"establishment,general_contractor,point_of_interest"
13,GEOMETRIC_CENTER,"Symphony Hills, Persiaran Bestari, Cyber 9, 63000 Cyberjaya, Selangor, Malaysia",ChIJwcMar6i1zTERYBvgPyT4HAo,"VERDI ECO-DOMINIUMS, SYMPHONY HILLS CYBERJAYA ",2.9184729,101.6417541,1,63000,OK,"establishment,point_of_interest,real_estate_agency"
14,GEOMETRIC_CENTER,"Taman City, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJjf5SJNdHzDER7QyfW3jUlyY,TUAN RESIDENCY @ JALAN KUCHING,3.1952929,101.6703292,1,51200,OK,"establishment,point_of_interest"
15,ROOFTOP,"34, Jalan Yap Kwan Seng, Kampung Baru, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJSUA5Udo3zDERCezMugZQiA0,M101 SKYWHEEL KUALA LUMPUR,3.163248,101.7150666,1,50350,OK,"establishment,finance,point_of_interest"
16,GEOMETRIC_CENTER,"Taman City, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJjf5SJNdHzDER7QyfW3jUlyY,TUAN RESIDENCY 2 @ JALAN KUCHING,3.1952929,101.6703292,1,51200,OK,"establishment,point_of_interest"
17,ROOFTOP,"206 Church St, Richmond VIC 3121, Australia",ChIJaWenz_BC1moRgN5n9EV_4fw,Australia Property,-37.81709,144.9991641,1,3121,OK,"establishment,point_of_interest,real_estate_agency"
