,areas_within,replies,views,total_score,address,polygon
0,AMPANG HILIR,10,4170,320.0,1,"POLYGON ((101.747163 3.149449, 101.747165 3.149478, 101.747308 3.152554, 101.750349 3.157118, 101.750387 3.157095, 101.754301 3.154783, 101.758141 3.152645, 101.755505 3.144855, 101.754402 3.14589, 101.751318 3.145965, 101.750504 3.145984, 101.750442 3.149002, 101.747247 3.149435, 101.747163 3.149449))"
1,ARA DAMANSARA,1403,294322,77.45454545454545,11,"POLYGON ((101.595803 3.127261, 101.593027 3.116288, 101.592094 3.109517, 101.58991 3.109413, 101.58752 3.104721, 101.587214 3.10412, 101.586023 3.103406, 101.583123 3.101668, 101.581641 3.100779, 101.569845 3.099445, 101.569319 3.099222, 101.569422 3.102469, 101.569236 3.106472, 101.569184 3.107585, 101.567167 3.111069, 101.565984 3.113113, 101.568102 3.115793, 101.563797 3.127681, 101.595803 3.127261))"
2,AU3 RUMAH PANGSA,10,1258,320.0,1,"POLYGON ((101.761173 3.196405, 101.762916 3.195703, 101.762101 3.192942, 101.761872 3.187859, 101.761244 3.184377, 101.76086 3.183732, 101.757512 3.178284, 101.755881 3.179391, 101.755317 3.18009, 101.755997 3.180584, 101.756248 3.180562, 101.757664 3.1824, 101.758608 3.183625, 101.759151 3.184329, 101.759151 3.184329, 101.759484 3.185757, 101.759567 3.186113, 101.759567 3.186113, 101.759923 3.187241, 101.759924 3.187244, 101.760816 3.18879, 101.761292 3.189326, 101.761352 3.190753, 101.761173 3.192954, 101.761173 3.194917, 101.761173 3.196405))"
3,AYER PANAS LUAR,1064,186849,65.0,2,"POLYGON ((101.709528 3.192384, 101.710701 3.193333, 101.710905 3.193574, 101.711772 3.194593, 101.715055 3.197931, 101.717242 3.199609, 101.720381 3.196549, 101.719306 3.196155, 101.71932 3.195482, 101.716948 3.193811, 101.717452 3.19311, 101.717803 3.19208, 101.71811 3.190919, 101.718088 3.188967, 101.718012 3.18832, 101.716026 3.18924, 101.715061 3.189251, 101.714402 3.189514, 101.713634 3.189985, 101.713075 3.19073, 101.712669 3.191004, 101.712044 3.191398, 101.710321 3.19176, 101.709528 3.192384))"
4,BAIDURI,20,1865,20.0,1,"POLYGON ((101.639357 3.104454, 101.639722 3.102648, 101.637094 3.101272, 101.635808 3.099466, 101.635118 3.096234, 101.634022 3.094487, 101.632067 3.091895, 101.623919 3.08564, 101.623886 3.086118, 101.623861 3.086585, 101.623238 3.087175, 101.62182 3.088455, 101.62022 3.088397, 101.61786 3.088397, 101.615088 3.088316, 101.615049 3.0901, 101.615016 3.091649, 101.618162 3.091926, 101.621157 3.091963, 101.62138 3.096377, 101.622048 3.096392, 101.625204 3.096466, 101.627357 3.094632, 101.62897 3.095701, 101.63076 3.096229, 101.630458 3.097238, 101.630509 3.097583, 101.630789 3.097545, 101.630864 3.098105, 101.630021 3.098217, 101.630166 3.100275, 101.630444 3.100275, 101.630562 3.102162, 101.630821 3.102158, 101.630812 3.102808, 101.629853 3.103637, 101.633354 3.103977, 101.63903 3.104623, 101.639357 3.104454))"
5,BANDAR BARU AMPANG,0,448,10.0,1,"POLYGON ((101.773676 3.143596, 101.772166 3.141508, 101.771266 3.140158, 101.770367 3.138905, 101.770367 3.138455, 101.770881 3.13807, 101.769988 3.137501, 101.769121 3.136977, 101.766843 3.136038, 101.768597 3.140827, 101.766934 3.143737, 101.76556 3.143231, 101.765337 3.143361, 101.764399 3.144724, 101.765763 3.146769, 101.765379 3.148048, 101.766286 3.147581, 101.770045 3.14607, 101.770977 3.145139, 101.772584 3.143661, 101.773676 3.143596))"
6,BANDAR BARU SELAYANG UTARA,22,2957,20.0,1,"POLYGON ((101.661452 3.258406, 101.648425 3.26065, 101.649053 3.26175, 101.649524 3.262818, 101.649964 3.265676, 101.650121 3.268377, 101.650812 3.269916, 101.652043 3.271497, 101.652309 3.272161, 101.652356 3.272903, 101.653474 3.272989, 101.65392 3.272691, 101.65392 3.272021, 101.654591 3.271426, 101.656154 3.271798, 101.657196 3.27217, 101.657941 3.271575, 101.658537 3.272096, 101.658909 3.272989, 101.658983 3.273883, 101.65943 3.276414, 101.660026 3.276489, 101.660323 3.276935, 101.662408 3.276191, 101.661508 3.258685, 101.661452 3.258406))"
7,BANDAR BARU SENTUL,931,139226,376.0,3,"POLYGON ((101.695483 3.185448, 101.694779 3.1888, 101.696787 3.188782, 101.699911 3.188309, 101.699911 3.188173, 101.700046 3.185524, 101.696911 3.185492, 101.697016 3.183012, 101.697862 3.182941, 101.697986 3.182097, 101.695959 3.180179, 101.695025 3.180126, 101.69462 3.181551, 101.69462 3.182237, 101.695536 3.183979, 101.695483 3.185448))"
8,BANDAR BUKIT PUCHONG,49,5000,33.333333333333336,3,"POLYGON ((101.613944 2.979817, 101.608959 2.979694, 101.609064 2.980381, 101.609375 2.982404, 101.613152 2.99103, 101.615802 2.993485, 101.617638 2.992525, 101.618247 2.992414, 101.619297 2.992009, 101.622966 2.988488, 101.624551 2.987769, 101.626859 2.987172, 101.629381 2.994025, 101.628247 2.994604, 101.628539 2.999978, 101.633486 3.000033, 101.63484 2.980676, 101.634864 2.980335, 101.627264 2.980146, 101.613944 2.979817))"
9,BANDAR COUNTRY HOME 1,636,53256,216.25,4,"POLYGON ((101.553295 3.34495, 101.553707 3.343081, 101.55587 3.339926, 101.557583 3.338033, 101.558665 3.33605, 101.558845 3.333706, 101.559025 3.331002, 101.559296 3.328117, 101.559476 3.325593, 101.559386 3.3237, 101.559116 3.322257, 101.558665 3.321176, 101.556321 3.319102, 101.549831 3.313513, 101.548298 3.312071, 101.545954 3.309998, 101.545004 3.308071, 101.544963 3.306302, 101.542619 3.307203, 101.541627 3.308285, 101.540636 3.309547, 101.540185 3.310809, 101.538923 3.31162, 101.53703 3.312342, 101.535858 3.313063, 101.534941 3.314759, 101.53388 3.315667, 101.532162 3.316488, 101.530269 3.3173, 101.529097 3.31784, 101.527925 3.318742, 101.526429 3.320215, 101.524892 3.320977, 101.522782 3.326652, 101.520044 3.329187, 101.519942 3.336438, 101.518776 3.337807, 101.520286 3.339029, 101.521375 3.340171, 101.522301 3.340454, 101.523561 3.341874, 101.524654 3.343369, 101.527883 3.345077, 101.528866 3.345578, 101.530504 3.345908, 101.531612 3.346111, 101.532384 3.346392, 101.534272 3.345429, 101.535069 3.345549, 101.53494 3.346384, 101.536584 3.347633, 101.537418 3.347772, 101.538202 3.347238, 101.53891 3.346573, 101.539618 3.345908, 101.540882 3.345842, 101.541555 3.346449, 101.544079 3.346863, 101.545491 3.346718, 101.549012 3.345218, 101.553295 3.34495))"
