,address,name,lat,long,replies,views,recency,total_score,areas_within,points_within
2,"009, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Prime Unit for lease SG Wang G001,3.1448866,101.7109328,0,458,3605.0,5,BUKIT BINTANG,"POLYGON ((101.709995 3.146223, 101.712587 3.148216, 101.713093 3.148257, 101.715997 3.148673, 101.716272 3.14852, 101.718641 3.147559, 101.719015 3.147489, 101.719481 3.147539, 101.720544 3.147933, 101.722796 3.148745, 101.7228 3.148213, 101.72097 3.14231, 101.720659 3.141641, 101.719626 3.142193, 101.718549 3.142149, 101.717546 3.141333, 101.716758 3.142323, 101.715583 3.142323, 101.715806 3.142808, 101.71532 3.142889, 101.715259 3.145517, 101.714834 3.146043, 101.712101 3.144001, 101.708821 3.143071, 101.70791 3.142606, 101.707216 3.143958, 101.709995 3.146223))"
3,"03, Jalan PJS 10/11A, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",Ridzuan Condominium Bandar SunwayRidzuan condo vs other condos,3.0789397999999997,101.6058885,17,2762,1927.5,160,PJS 10/1 - PJS 10/16,"POLYGON ((101.619892 3.084282, 101.623678 3.084732, 101.620514 3.082357, 101.617639 3.081778, 101.617733 3.080569, 101.615575 3.080343, 101.615381 3.08122, 101.615067 3.081073, 101.613421 3.081073, 101.610688 3.081093, 101.609954 3.080368, 101.610032 3.078056, 101.60916 3.078027, 101.609052 3.077047, 101.608915 3.076048, 101.609621 3.076058, 101.60964 3.075049, 101.608886 3.075049, 101.608808 3.074314, 101.60725 3.074539, 101.604458 3.073932, 101.604497 3.078536, 101.605222 3.079819, 101.607867 3.080015, 101.607534 3.081122, 101.607554 3.083195, 101.615384 3.083958, 101.619892 3.084282))"
4,"1, Changkat Raja Chulan, Bukit Ceylon, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",PAVILION CEYLON HILL KUALA LUMPUR,3.1496267999999996,101.70514200000001,66,16399,11.0,24,BUKIT WELD,"POLYGON ((101.709995 3.146223, 101.707216 3.143958, 101.70668 3.14413, 101.704422 3.145414, 101.70182 3.145889, 101.699684 3.145727, 101.698069 3.147639, 101.698059 3.14765, 101.698576 3.148297, 101.699213 3.148631, 101.700884 3.148894, 101.702319 3.149887, 101.703024 3.150221, 101.703024 3.150221, 101.704154 3.150309, 101.704584 3.150386, 101.705531 3.149723, 101.706087 3.149318, 101.706533 3.148671, 101.706654 3.148143, 101.708568 3.147314, 101.709327 3.146981, 101.709995 3.146223))"
5,"1, F-11-01, Jalan USJ 25/1B, One City, 47650 Subang Jaya, Selangor, Malaysia",One City - Sky Park,3.0220225,101.5802255,2,1311,3455.0,5,SHAH ALAM S 27 A,"POLYGON ((101.571356 3.012256, 101.569882 3.012224, 101.570109 3.01353, 101.568462 3.0197, 101.563098 3.025694, 101.562783 3.02636, 101.562012 3.026816, 101.560715 3.028709, 101.561275 3.030742, 101.564908 3.027627, 101.567291 3.027276, 101.570236 3.028749, 101.572585 3.029239, 101.575038 3.031378, 101.577624 3.031105, 101.578965 3.030712, 101.580542 3.028538, 101.580612 3.025839, 101.581262 3.023981, 101.585927 3.022265, 101.586279 3.021496, 101.586243 3.019673, 101.584927 3.016343, 101.584638 3.014242, 101.584507 3.013293, 101.584876 3.012346, 101.585471 3.011842, 101.586734 3.010769, 101.586378 3.009229, 101.583134 3.011423, 101.583105 3.012196, 101.571356 3.012256))"
6,"1, Jalan 14/1, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",Jaya one condo,3.10553,101.63549990000001,6,852,2802.0,36,JALAN SEMANGAT,"POLYGON ((101.639357 3.104454, 101.63903 3.104623, 101.633354 3.103977, 101.634777 3.105828, 101.633427 3.111593, 101.632497 3.112725, 101.628357 3.115967, 101.629035 3.116576, 101.629825 3.117269, 101.637251 3.109677, 101.640057 3.108254, 101.63966 3.107615, 101.639191 3.106111, 101.639094 3.105343, 101.639357 3.104454))"
7,"1, Jalan 9/116B, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","Spring Avenue, Kuchai",3.0861249,101.69056690000001,194,23763,42.0,252,KUCHAI ENTREPRENEURS PARK,"POLYGON ((101.688835 3.075209, 101.684036 3.075033, 101.68409 3.078105, 101.684451 3.078231, 101.684433 3.079095, 101.686075 3.079275, 101.686129 3.081906, 101.685046 3.081978, 101.68492 3.083743, 101.686688 3.083851, 101.688889 3.083869, 101.688708 3.085797, 101.686652 3.085653, 101.686381 3.088661, 101.683386 3.088247, 101.683495 3.088949, 101.682881 3.088967, 101.682954 3.090516, 101.683224 3.090931, 101.682468 3.092007, 101.683441 3.09271, 101.687464 3.092187, 101.691018 3.092926, 101.693002 3.090404, 101.693399 3.088296, 101.694067 3.087504, 101.69684 3.084683, 101.69542 3.082829, 101.695492 3.081172, 101.696628 3.08119, 101.695961 3.079424, 101.690819 3.079694, 101.689845 3.078289, 101.688835 3.075209))"
8,"1, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Bangsar Condos,3.1269972999999998,101.6766849,12,7037,2397.0,36,BUKIT BANGSAR,"POLYGON ((101.678281 3.125461, 101.676068 3.126945, 101.676482 3.127303, 101.676206 3.127744, 101.675131 3.12868, 101.674772 3.128927, 101.674469 3.129258, 101.674772 3.130001, 101.675241 3.130579, 101.675958 3.131653, 101.675682 3.132038, 101.676426 3.132699, 101.678184 3.13126, 101.678019 3.130627, 101.677908 3.130325, 101.678019 3.129939, 101.678046 3.129609, 101.67868 3.129086, 101.679121 3.128645, 101.679673 3.128342, 101.678846 3.126966, 101.678267 3.125782, 101.678294 3.125617, 101.678281 3.125461))"
9,"1, Jalan Besi Kawi, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Midfields 2,3.0976437999999997,101.7017528,7,893,2299.0,36,KUCHAI,"POLYGON ((101.691646 3.109546, 101.701838 3.101391, 101.706219 3.098086, 101.709402 3.095576, 101.70951 3.095378, 101.708752 3.094962, 101.707344 3.094583, 101.707272 3.093646, 101.704891 3.09271, 101.704386 3.093232, 101.703628 3.093574, 101.703249 3.093791, 101.701716 3.094655, 101.700687 3.092476, 101.700507 3.091971, 101.69993 3.091359, 101.699407 3.09071, 101.69845 3.089918, 101.697747 3.088837, 101.696773 3.088638, 101.695744 3.088945, 101.694554 3.088512, 101.694067 3.087504, 101.693399 3.088296, 101.693002 3.090404, 101.691018 3.092926, 101.687464 3.092187, 101.683441 3.09271, 101.682468 3.092007, 101.68142 3.091251, 101.680771 3.091106, 101.680043 3.091174, 101.679021 3.091269, 101.677776 3.091088, 101.676892 3.091737, 101.675575 3.091791, 101.674963 3.091192, 101.675175 3.092243, 101.675234 3.092715, 101.67485 3.093511, 101.674171 3.094248, 101.673522 3.094926, 101.67299 3.09472, 101.67364 3.097875, 101.67449 3.09825, 101.675178 3.097724, 101.676369 3.097968, 101.678642 3.096729, 101.680897 3.096486, 101.682881 3.096819, 101.682836 3.097441, 101.683675 3.09926, 101.685163 3.098783, 101.685335 3.102032, 101.688925 3.109546, 101.691646 3.109546))"
10,"1, Jalan Cemur, Titiwangsa Sentral, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",I went to Titiwangsa Sentral,3.1711822999999995,101.6964574,70,5991,2684.0,24,KOMPLEKS DAMAI,"POLYGON ((101.69524 3.172814, 101.698847 3.173773, 101.699649 3.174148, 101.699591 3.173649, 101.699178 3.172892, 101.698516 3.170291, 101.698544 3.167001, 101.694586 3.170289, 101.694808 3.171318, 101.69524 3.171736, 101.69524 3.172814))"
11,"1, Jalan Dagang SB 4/1, Mines Wellness City, 43300 Seri Kembangan, Selangor, Malaysia",ASTETICA RESIDENCES @ MINES SOUTH,3.0260322,101.71642159999999,96,18004,154.0,24,TAMAN MUHIBBAH,"POLYGON ((101.711433 3.026839, 101.711066 3.027491, 101.71435 3.030014, 101.714968 3.029633, 101.716928 3.026074, 101.720265 3.019868, 101.721193 3.017687, 101.723421 3.015466, 101.723758 3.01513, 101.724171 3.013801, 101.722011 3.012305, 101.721748 3.012751, 101.721614 3.012977, 101.720943 3.014112, 101.720213 3.015346, 101.719665 3.016396, 101.718991 3.017686, 101.718572 3.018487, 101.716573 3.021771, 101.714503 3.024127, 101.711433 3.026839))"
13,"1, Jalan Dawai 16/2, Seksyen 16, 40200 Shah Alam, Selangor, Malaysia",Cheap Rooms for Rent Seksyen 16 Shah Alam,3.058014,101.5076761,2,242,2128.0,5,SHAH ALAM S 15 & S 16,"POLYGON ((101.534705 3.059294, 101.526608 3.0567, 101.522977 3.05575, 101.518193 3.054049, 101.52119 3.048113, 101.51753 3.047018, 101.51681 3.049727, 101.51315 3.048603, 101.513121 3.049554, 101.51266 3.052205, 101.509663 3.0516, 101.506782 3.051312, 101.505456 3.051341, 101.502113 3.051715, 101.502137 3.054345, 101.505883 3.054316, 101.505451 3.055959, 101.505365 3.05691, 101.5062 3.058956, 101.508678 3.057688, 101.510263 3.059734, 101.509341 3.062933, 101.521098 3.06616, 101.525853 3.066881, 101.527294 3.066592, 101.529455 3.066621, 101.532106 3.067457, 101.535593 3.068004, 101.537812 3.068408, 101.53908 3.06861, 101.545564 3.071405, 101.549022 3.072759, 101.550636 3.073566, 101.552019 3.074517, 101.554094 3.075324, 101.554526 3.076188, 101.554756 3.077716, 101.555056 3.077829, 101.555377 3.07382, 101.553724 3.07255, 101.551131 3.070331, 101.550237 3.068371, 101.549142 3.066469, 101.54822 3.065259, 101.545483 3.062954, 101.543725 3.061715, 101.540327 3.060893, 101.537529 3.060216, 101.534705 3.059294))"
