,thread_name,username,post_content,posted_at
0,Oasis 2 @Kajang Mutiara Heights,TSTC170,"Walking down the mall, and found out TLS launch their new project at Kajang. It's the 2nd phase for Oasis 1 call Oasis 2But this time they have a lower price per square feet compare to Oasis 1. Starting from RM480,930 ( RM385psf !! ) . I am wondering why the price are lower now✔ Spacious built-up from 1250sq ft - 1945 sq ft✔ 3-4 bedrooms choices✔ Separated yard & balcony for additional practicality✔ Booking RM1000 only✔ 100% loan available✔ FREE 2 side-by-side carparks for each unit✔ FREE 3 months maintenance charged & sinking funds✔ FREE SPA Legal Fees✔ FREE Loan Agreement Fees✔ FREE Disbursements✔ 5 tiered security system✔ Kitchen cabinet with hood and hob installed✔ 4 air-conditioners installed✔ FREEHOLD23 Leisure Facilities provided!!Ground Floor and Open Lawn :1) Swimming Pool2) Children Wading Pool3) Pool Deck4) Leaf Piazza5) Children Playground6) Meditation / Yoga Deck7) Open Lawn8) Resting Deck9) Bicycle Jogging Track (700m)10) BBQ Area11) Gazebo12) Water Feature13) Gymnasium14) Multipurpose HallRoof Top :1) Full sized Basketball Court2) Outdoor Fitness3) Rock Climbing4) Hopscotch 15) Hopscotch 26) Resting Gazebo7) Study Area8) Garden Treillis9) Rooftop Children Playground18km to KL (Jalan Loke Yew)Near to Kajang-Sg Buloh MRT StationNear to Jeloh Forest Reserve (excellent environment)Near to existing business center","Jan 5 2017, 02:00 PM, updated 4y ago"
1,Oasis 2 @Kajang Mutiara Heights,michaelchang,"soft market condition and too many projects at south KL. with their present price, should be able to sell quite well.","Jan 14 2017, 12:37 AM"
2,Oasis 2 @Kajang Mutiara Heights,cait_sith,"Picture was taken in November 2016 by !gent's.Last checked with TLS, Oasis 2 already built-up to level 27 and haven't officially launch.If you're interested in this project, we can share the introductory referral fee. PM for more details.","Apr 4 2017, 03:54 PM"
3,Oasis 2 @Kajang Mutiara Heights,cait_sith,"Great morning view from Mutiara Heights, Oasis 1 & 2 in Kajang.","Apr 20 2017, 11:39 AM"
4,Oasis 2 @Kajang Mutiara Heights,cait_sith,Found some layout and floor plans on PropertyGuru.,"Apr 26 2017, 12:35 PM"
5,Oasis 2 @Kajang Mutiara Heights,WahBiang,"That pic, is that the fancy roundabout in the brochure? so diff?? residential or commercial?","May 7 2017, 04:45 PM"
6,Oasis 2 @Kajang Mutiara Heights,cait_sith,"Which one are you referring to? If Oasis 2, it's a new condo next to Oasis 1.","May 8 2017, 11:41 AM"
7,Oasis 2 @Kajang Mutiara Heights,WahBiang,U see a lot of roundabout?? I saw one only...,"May 8 2017, 12:37 PM"
8,Oasis 2 @Kajang Mutiara Heights,cait_sith,"Ah, i remember you from the Oasis 1 thread. The one who comments on the water fountain roundabout at the entrance.Well, first of all, the marketing video or the brochure are only an artist impression and different people has different perception to it. That's the marketing tools used by almost all the developers these days.When choosing your ideal home, a lot of factors need to be look into before we decided to put our money into it. I definitely not going to be enticed by the marketing video or brochure. We need to look at the actual site itself and its surrounding before deciding whether to buy it or not?We need to do our own survey (developer backgrounds, location, timeline and etc.) and make that decision. If we want to own a house or home that are 100% exactly like what the developer advertised on their marketing medium, then all buyers need to wait until the project has been VPed first. If that the case, expect to pay more than the initial launch pricing.","May 8 2017, 01:04 PM"
9,Oasis 2 @Kajang Mutiara Heights,WahBiang,"I think is comment by others, but u show the pic the here... Hence i asked..","May 8 2017, 08:19 PM"
