,thread_name,username,post_content,posted_at
0,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,,"Nov 11 2013, 08:25 PM, updated 3y ago"
1,THE CLIO RESIDENCE @ IOI RESORT CITY ,Z1000,clay brick or cement brick project? if cement brick project dont want to buy,"Nov 11 2013, 08:28 PM"
2,THE CLIO RESIDENCE @ IOI RESORT CITY ,forsale0121,How to register for this ? PM ?,"Nov 11 2013, 08:28 PM"
3,THE CLIO RESIDENCE @ IOI RESORT CITY ,guilty25,Dude why do you keep rambling about bricks all over the forum? We get it cement bricks are bad,"Nov 11 2013, 08:39 PM"
4,THE CLIO RESIDENCE @ IOI RESORT CITY ,Z1000,just make ppl know tat most project below 1 mil is cement brick. Most buyer dont know. honest. will keep lower profile. thanks.,"Nov 11 2013, 08:41 PM"
5,THE CLIO RESIDENCE @ IOI RESORT CITY ,shadowofevil,Seriously i don understans is that nessasary u going all thread huu haaa on this clay brick vs cement brick....u have a thread talkin about tis....and i think peri peri gor aldy explain too....since he is in this construction industry i guess he be right man to clarify on this....kinda fed up ur comment flooding in every thread...,"Nov 11 2013, 10:16 PM"
6,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,"C'mon guys, this is IOI Properties project. Whatever bricks....","Nov 11 2013, 10:26 PM"
7,THE CLIO RESIDENCE @ IOI RESORT CITY ,tikaram,Hope ioi use red brick.it does matter to some.,"Nov 11 2013, 10:36 PM"
8,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,"Around RM500-550psf. Freehold. Sizes are 843 sq ft and 1,388 sq ft.","Nov 11 2013, 11:03 PM"
9,THE CLIO RESIDENCE @ IOI RESORT CITY ,shadowofevil,Got shadow bo.... nice pricing...when launching mate...info plz =p,"Nov 12 2013, 10:43 AM"
10,THE CLIO RESIDENCE @ IOI RESORT CITY ,shadowofevil,Got shadow bo.... nice pricing...when launching mate...info plz =p,"Nov 12 2013, 10:51 AM"
11,THE CLIO RESIDENCE @ IOI RESORT CITY ,nakedtruth,confirmed?,"Nov 12 2013, 11:36 AM"
12,THE CLIO RESIDENCE @ IOI RESORT CITY ,BEANCOUNTER,"1st of all, its called sand brick, not cement brick....Hmm...this clio condo, pricing not that much different from ioi resort condos puteri....Is this one very close to the mall?","Nov 12 2013, 11:41 AM"
13,THE CLIO RESIDENCE @ IOI RESORT CITY ,puchongite,"I don't think they use bricks. They just pour concrete over the ""mold"".","Nov 12 2013, 11:46 AM"
14,THE CLIO RESIDENCE @ IOI RESORT CITY ,CMW123,"Puteri Palma currently low occupancy, maybe still have developer units availableIOI need to sell the whole master plan for this IOI Resort CityYa, is it walking distance to the mall?","Nov 12 2013, 12:08 PM"
15,THE CLIO RESIDENCE @ IOI RESORT CITY ,Kvsual,Thanks for the info! Yea interested in this. 500psf for 1388sf with 5-8% rebates please!,"Nov 16 2013, 10:21 AM"
16,THE CLIO RESIDENCE @ IOI RESORT CITY ,Kvsual,"Dear bro, possible to take another photos of those wordings on the left?","Nov 16 2013, 10:24 AM"
17,THE CLIO RESIDENCE @ IOI RESORT CITY ,Kvsual,"Looking forward on this, Hope it wil be launched asap.Hopefully it's facing the beautiful golf course and near to ioi CIty Mall (walking distance)","Nov 16 2013, 10:51 AM"
18,THE CLIO RESIDENCE @ IOI RESORT CITY ,Kvsual,I tot u looking for landed now?Is this IOI resortcity considered Putrajaya?,"Nov 16 2013, 11:16 AM"
19,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,Nice! Something interesting from this area finally .,"Nov 17 2013, 09:44 AM"
20,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,"ppl from kajang/south cheras/ puchong south/Seri kembangan could be drawn to this mall too, so it's not just single race dominance in my opinion","Nov 17 2013, 10:08 AM"
21,THE CLIO RESIDENCE @ IOI RESORT CITY ,dcon,how to register for this project?,"Nov 17 2013, 01:08 PM"
22,THE CLIO RESIDENCE @ IOI RESORT CITY ,ftan,I'd like to know too. Registered on their website in general.,"Nov 17 2013, 07:24 PM"
23,THE CLIO RESIDENCE @ IOI RESORT CITY ,CMW123,When will the mall be opening?Parkson as the anchor tenant...,"Nov 17 2013, 07:31 PM"
24,THE CLIO RESIDENCE @ IOI RESORT CITY ,optimus28,cant be priced too high due to low occupancy rate in puteri palma and putrajaya..for RM 500+psf..there are better options out there for investors to consider..however in the future I believe this place will do well..all depends on the reason of purchasing :-),"Nov 17 2013, 11:25 PM"
25,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,I will take picture of the full leaflet.,"Nov 17 2013, 11:51 PM"
26,THE CLIO RESIDENCE @ IOI RESORT CITY ,xemse89,please do!Thank you good sir!,"Nov 18 2013, 08:49 AM"
27,THE CLIO RESIDENCE @ IOI RESORT CITY ,kamilnu,Where is the sales office?,"Nov 20 2013, 03:23 PM"
28,THE CLIO RESIDENCE @ IOI RESORT CITY ,ESBI_E,Any more updates on this project?,"Nov 22 2013, 01:27 PM"
29,THE CLIO RESIDENCE @ IOI RESORT CITY ,blackfuzzy,"Registrations can be sent to property.marketingirc@ioigroup.com .As for sizes (not counting the 2 penthouses), there should be 4 sizes approximately 843, 970, 1,142 and 1,388 sq. ft.This is expected for launch in by April or so 2014.","Nov 23 2013, 04:52 PM"
30,THE CLIO RESIDENCE @ IOI RESORT CITY ,optimus28,"That is puchong address and this is putrajaya..However, RM 650psft is also high for that area in my opinion, leasehold lagi","Nov 25 2013, 09:04 AM"
31,THE CLIO RESIDENCE @ IOI RESORT CITY ,Kvsual,This Clio Residences is Leasehold? can anyone confirmed?,"Nov 25 2013, 02:11 PM"
32,THE CLIO RESIDENCE @ IOI RESORT CITY ,CMW123,But Puteri Palma is freehold...so Clio Residence should be also the same?http://www.propwall.my/putrajaya/puteri_palma_1,"Dec 2 2013, 02:31 PM"
33,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,"usually by just looking at the advertisement materials we should more or less know it is FH or not, becoz if it is FH then there should be a super big size 'FH' word on it. Too bad the image accetera put up doesn't capture the entire layout","Dec 2 2013, 08:52 PM"
34,THE CLIO RESIDENCE @ IOI RESORT CITY ,MrHunter,"Is this dev at putrajaya address? I always thought that it is not putrajaya, not kajang, not puchong, not sri kembangan, not ciber....but it is at middle of these location haaaa ...everytime i passed by, i m blurrrrrrr","Dec 4 2013, 07:37 PM"
35,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,"technically, it should be under MPSJ. though a bit weird","Dec 4 2013, 11:30 PM"
36,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,by friend - bartholomew voon fb,"Dec 5 2013, 12:56 PM"
37,THE CLIO RESIDENCE @ IOI RESORT CITY ,dcon,how to register?,"Dec 5 2013, 07:08 PM"
38,THE CLIO RESIDENCE @ IOI RESORT CITY ,rongfu,how much?,"Dec 16 2013, 09:48 AM"
39,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,"is the structure really in wave-like form, or because of the crumpled leaflet?","Dec 17 2013, 04:47 PM"
40,THE CLIO RESIDENCE @ IOI RESORT CITY ,TSaccetera,The leaflet is not crumpled lah.The fins are wavery... but does not mean your unit is wavery. See closely.,"Feb 5 2014, 11:45 AM"
41,THE CLIO RESIDENCE @ IOI RESORT CITY ,maldiniho,nice..... another eye catching high-rise unlike most of the uninspiring ones.Still the YTL's Capers and Fennels are most radical in design,"Feb 6 2014, 10:15 AM"
