thread_name,username,post_content,posted_at
Elmina by Sime Darby v2,wil-i-am,Congrats on thread v2,"Jun 22 2015, 10:27 AM"
Elmina by Sime Darby v2,elmond,track....just proposal Chinese primary school is from developer?,"Jun 22 2015, 10:37 AM"
Elmina by Sime Darby v2,simplest,so no proposal for sekolah kebangsaan?,"Jun 22 2015, 02:48 PM"
Elmina by Sime Darby v2,lanrambai,"Sekolah kebangsaan, sekolah menengah kebangsaaan and sekolah agama are already in the approved plan. SD just allocate the land...tak tau bila gomen buat.","Jun 22 2015, 03:13 PM"
Elmina by Sime Darby v2,ykit_88,Where to sign these 2 consensus forms?,"Jun 22 2015, 04:08 PM"
Elmina by Sime Darby v2,achongs,parking,"Jun 22 2015, 04:14 PM"
Elmina by Sime Darby v2,YnWa77,They will give you the form to sign when you collect the keys,"Jun 22 2015, 04:57 PM"
Elmina by Sime Darby v2,ykit_88,I see I see,"Jun 22 2015, 05:13 PM"
Elmina by Sime Darby v2,TSjeghui,Please add pics of vp units,"Jun 23 2015, 03:37 AM"
Elmina by Sime Darby v2,syaad,Parking? For what?,"Jun 23 2015, 07:16 AM"
Elmina by Sime Darby v2,syaad,"SD proposal to built a perimeter fencing for Elmina Garden is a good effort. For residence, we can start to imagine the G&G concept of Elmina Garden should be realized.","Jun 23 2015, 07:19 AM"
Elmina by Sime Darby v2,YnWa77,https://m.youtube.com/watch?v=5S46EAFa_i8&feature=youtu.beFootage of Elmina Explore Carnival on 30 May 2015.Enjoy!,"Jun 23 2015, 06:38 PM"
Elmina by Sime Darby v2,chelsea2013,"from the Elmina masterplan, it seems that Ariza is not part of the Elmina Garden.So, is Ariza also entitled for Perimeter Fencing?Correct me if i am wrong...","Jun 23 2015, 08:50 PM"
Elmina by Sime Darby v2,syaad,"Yes. I noticed on the Elmina Garden master plan, that Ariza and Schools are located outside of Elmina Garden circle zone.But, SD could design & construct the perimeter fencing to merge with Elmina Garden circle perimeter fencing.","Jun 23 2015, 09:04 PM"
Elmina by Sime Darby v2,chelsea2013,"Thanks for your clarification.Ya, hopefully this will create a safety and sustainable environment to residents of Elmina aka Eliminians....","Jun 23 2015, 09:11 PM"
Elmina by Sime Darby v2,zerol410,"I thought we call ourselves The Elms (like LOTR, hehe)","Jun 24 2015, 01:17 PM"
Elmina by Sime Darby v2,zerol410,Seriously??A few weeks before MBB said only RM980k.,"Jun 24 2015, 01:18 PM"
Elmina by Sime Darby v2,achongs,hehehe.. waiting for news when SD want to launch 20x70 double storey house.. want to buy,"Jun 24 2015, 01:35 PM"
Elmina by Sime Darby v2,ykit_88,"""The Elmins"".LOL.","Jun 24 2015, 02:18 PM"
Elmina by Sime Darby v2,emeryn,"The perimeter fencing is for the whole elmina garden or there will be another fencing for crista, regia, aralia, keana, garinia, etc individually?","Jun 24 2015, 02:34 PM"
Elmina by Sime Darby v2,achongs,how? 1million+++ 😵.. really want to see how the market response..,"Jun 24 2015, 06:24 PM"
Elmina by Sime Darby v2,syaad,The meaning of perimeter fencing is fencing to be covered for one circle big area. Not by zone or small area.,"Jun 24 2015, 09:35 PM"
Elmina by Sime Darby v2,chelsea2013,"this is certainly crazy, right? this unit doesn't worth 1.3 mil at all","Jun 24 2015, 09:45 PM"
Elmina by Sime Darby v2,syaad,I think the price is for end unit. Not for intermediate unit. But if the price is correct...wowllaaaaaa 👍😄,"Jun 24 2015, 09:55 PM"
Elmina by Sime Darby v2,chelsea2013,if the price is correct and the owner bought it with staff price 2 years ago..... wowllaaaaaaaaaaaa,"Jun 24 2015, 10:20 PM"
Elmina by Sime Darby v2,syaad,"This unit is for Regia.Regia is superlink type 30x69, which is starting price from 838,888.","Jun 24 2015, 10:43 PM"
Elmina by Sime Darby v2,TSjeghui,The Elms.Elminians sound like another RA group Lamanians (and sound so horrible),"Jun 25 2015, 08:17 AM"
Elmina by Sime Darby v2,ykit_88,"How about Elmins, not Elminians.Elms sounds like ancient tree creature.","Jun 25 2015, 08:22 AM"
Elmina by Sime Darby v2,kheekuan,"Even if there is no one being planned, there's a few within the vicinity Chinese school certainly will be a big booster to the property prices & it's something that lacking in the area","Jun 25 2015, 10:12 AM"
Elmina by Sime Darby v2,lanrambai,Yes..hopefully it will be built and completed just in time for my youngest daughter who are 3 this year.BTW...I think someone need to lock the older thread. Nanti ada yang still tulis di situ.,"Jun 25 2015, 12:59 PM"
Elmina by Sime Darby v2,zerol410,I did!,"Jun 25 2015, 04:13 PM"
Elmina by Sime Darby v2,emeryn,"how much was regia end lot unit? the 1.3mill seems to be end lot. I just saw one regia selling at 950k for intermediate, if launch price was 838,888, now selling 950k, early bout 110k. hmmm...i thought can 200k tim...","Jun 26 2015, 11:09 PM"
Elmina by Sime Darby v2,chelsea2013,"At the moment, only Ariza can get +/-200k in subsales...","Jun 29 2015, 06:46 PM"
Elmina by Sime Darby v2,ykit_88,DASH partly approved,"Jun 29 2015, 07:10 PM"
Elmina by Sime Darby v2,syaad,"Good news, eventhough it is partly approved! 😄","Jun 29 2015, 10:09 PM"
Elmina by Sime Darby v2,chelsea2013,yeah....!!! further increase our property value,"Jul 1 2015, 11:50 AM"
Elmina by Sime Darby v2,zerol410,Maybank value intermediate Regia now at 1M.,"Jul 1 2015, 11:34 PM"
Elmina by Sime Darby v2,anuarsim,Wow can eat steak already,"Jul 1 2015, 11:53 PM"
Elmina by Sime Darby v2,TSjeghui,Just got keys...Ariza valued at?,"Jul 1 2015, 11:57 PM"
Elmina by Sime Darby v2,nexona88,wow,"Jul 2 2015, 12:41 AM"
Elmina by Sime Darby v2,KimiLau,"Is it angle problem, the car porch is so short , ngam ngam can park in only... Hilux sure can't go in","Jul 2 2015, 05:08 AM"
Elmina by Sime Darby v2,syaad,This is a good indication. #kipidap,"Jul 2 2015, 11:06 AM"
Elmina by Sime Darby v2,TSjeghui,Gotta see it to believe it. Lucky mine facing garden,"Jul 2 2015, 11:39 AM"
Elmina by Sime Darby v2,elmond,propwall got rm700k,"Jul 2 2015, 12:31 PM"
Elmina by Sime Darby v2,syaad,"Overall, how would you rate Ariza's built quality?","Aug 1 2015, 12:11 PM"
Elmina by Sime Darby v2,ykit_88,Ariza VP earlier or on S&P date?,"Aug 3 2015, 01:44 AM"
Elmina by Sime Darby v2,buggie,Shud Be angle problem. Easily can fit 4 myvis,"Aug 3 2015, 08:53 AM"
Elmina by Sime Darby v2,Lord G,"Hello forumers, I'm planning to sell my unit Elmina, Regia. Any parties interested u can contact/pm me. Thank you.B/u - 2631sqftL/a - 30x69Rooms - 4+1Bath - 5Intermediate unitFreeholdPrice - RM 980k","Aug 4 2015, 02:33 AM"
Elmina by Sime Darby v2,simplest,Planning to sell?,"Sep 3 2015, 07:10 PM"
Elmina by Sime Darby v2,TSjeghui,If the price is right,"Sep 4 2015, 09:34 AM"
Elmina by Sime Darby v2,syaad,So quiet this forum...😄Btw any Christa buyer here?Could you share me any latest picture.Cheers,"Sep 4 2015, 09:39 AM"
Elmina by Sime Darby v2,utellme,Went to the Elmina site 2 weeks ago. IMG_0561.MOV ( 1.38mb ) Number of downloads: 347 IMG_0538.MOV ( 1.73mb ) Number of downloads: 174,"Sep 4 2015, 11:29 AM"
Elmina by Sime Darby v2,utellme,More...,"Sep 6 2015, 12:16 PM"
Elmina by Sime Darby v2,syaad,Thanks 👍,"Sep 6 2015, 12:22 PM"
Elmina by Sime Darby v2,linafooo,"I was at my house, phase 2 Keana during a heavy rain last month. Found out that Rain water was flowing down directly from the roof of room 1 upstairs onto the roof of the wet kitchen below. Did a survey from outside the back of the house. Discovered that there was no gutter and downpipe to discharge the rain!","Oct 27 2015, 11:50 AM"
Elmina by Sime Darby v2,linafooo,"Sorry, as it was my first time posting in this forum, I did not do a good job in posting attachments. My thousand apologies. Not very experience in this. Are they any advisers out there who can advise how we purchasers in this particular phase to take up the issue with the developer to resolve and rectify the problem?","Nov 1 2015, 11:33 PM"
Elmina by Sime Darby v2,MusicForLife,"Total unbilled sales stood at RM1.3 billion as at June 30, 2015. The group targets to launch RM2 billion to RM2.5 billion worth of property projects in FY16. Elmina West is expected to be rolled out in January 2016, starting with link houses from RM600,000 to RM800,000 per unit.600k to 800khttp://www.theedgemarkets.com/my/article/s...ected-be-zero-5","Nov 2 2015, 09:39 AM"
Elmina by Sime Darby v2,TSjeghui,So quiet... no launches?,"Nov 2 2015, 10:56 AM"
Elmina by Sime Darby v2,BRE,"Wait next year bro for the 20x60 DSL. Year end normally no launches from SDP, they will take a break!","Nov 2 2015, 11:14 AM"
Elmina by Sime Darby v2,MusicForLife,"Wait next year bro for the 20x60 DSL. Year end normally no launches from SDP, they will take a break!No break for them I guess, December needs to start pushing and promoting their new launches. XD","Nov 2 2015, 01:41 PM"
Elmina by Sime Darby v2,BRE,"QUOTE(MusicForLife @ Nov 2 2015, 10:39 AM)No break for them I guess, December needs to start pushing and promoting their new launches. XDOk then lets see what props they are launching this year end bro. Props like NB, Cantara, PH SOHO etc have been postponed countless times!","Nov 2 2015, 02:53 PM"
Elmina by Sime Darby v2,elmond,"do this in elmina?Sime Darby Property will also build 4,600 affordable houses while other government-linked companies (GLCs) will build an additional 800 homes along mass rapid transit (MRT) stations.- See more at: http://www.themalaymailonline.com/malaysia...h.FOkOcERY.dpuf","Nov 2 2015, 02:55 PM"
Elmina by Sime Darby v2,MusicForLife,"QUOTE(BRE @ Nov 2 2015, 10:56 AM)Ok then lets see what props they are launching this year end bro. Props like NB, Cantara, PH SOHO etc have been postponed countless times!I think elmina west is consider their main project next year, can't imagine how they earn money if they delay everything.","Nov 2 2015, 03:04 PM"
Elmina by Sime Darby v2,BRE,"QUOTE(elmond @ Nov 2 2015, 12:14 PM)do this in elmina?Sime Darby Property will also build 4,600 affordable houses while other government-linked companies (GLCs) will build an additional 800 homes along mass rapid transit (MRT) stations.- See more at: http://www.themalaymailonline.com/malaysia...h.FOkOcERY.dpufSDP planned to build the affordable homes to the south of Elmina East.","Nov 2 2015, 03:05 PM"
Elmina by Sime Darby v2,BRE,"QUOTE(MusicForLife @ Nov 2 2015, 02:41 PM)I think elmina west is consider their main project next year, can't imagine how they earn money if they delay everything.Yes, Elmina West should be their main project next year as that is their biggest piece of land - lots of DSL coming up in Elmina West according to the comments earlier from some forummers but if price starting from 600K+ onwards for a 20x60 DSL, then susah to sell in this slow market!","Nov 2 2015, 03:25 PM"
Elmina by Sime Darby v2,elmond,"QUOTE(BRE @ Nov 2 2015, 02:55 PM)Yes, Elmina West should be their main project next year as that is their biggest piece of land - lots of DSL coming up in Elmina West according to the comments earlier from some forummers but if price starting from 600K+ onwards for a 20x60 DSL, then susah to sell in this slow market!600k for landed, sure finish internal, sound like elmina east first phase","Nov 2 2015, 04:47 PM"
Elmina by Sime Darby v2,BRE,"QUOTE(elmond @ Nov 2 2015, 04:04 PM)600k for landed, sure finish internal, sound like elmina east first phaseSDP nt so bad la bro, sure will leave some for their customers, or else kena kutuk like mad, ask the public to visit sales office but all gone with the wind!","Nov 2 2015, 04:50 PM"
Elmina by Sime Darby v2,MusicForLife,"QUOTE(elmond @ Nov 2 2015, 03:04 PM)600k for landed, sure finish internal, sound like elmina east first phaseQUOTE(BRE @ Nov 2 2015, 03:05 PM)SDP nt so  bad la bro, sure will leave some for their customers, or else kena kutuk like mad, ask the public to visit sales office but all gone with the wind!According to the SA, first phase they will have 300+ units.","Nov 2 2015, 04:53 PM"
