thread_name,username,post_content,posted_at
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",lapland,"Just booked. Launching 26 May 2019. If anyone interested to share introducer fee, do PM me.","May 3 2019, 07:10 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",propertybbb,Which size u bought? Whats the package? Saw it from propcafe...look good.https://www.facebook.com/167813966699572/po...7284243&sfns=mo,"May 26 2019, 03:35 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",pocoyoyo,Suitable for own stay?,"May 27 2019, 08:05 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",lapland,C size,"May 27 2019, 09:35 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",frey95,I also intend to for own stay but think of the way went for work in KLCC just pull me off 😂,"Jun 5 2019, 08:23 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",niza san,Just sign s&p for type C1 969sqft yesterday. Sadly parking bay at Level 2. Anyone already signed s&p too?,"Jun 17 2019, 04:02 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",nexona88,project sold out?,"Jun 17 2019, 04:22 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",ImbaJiet,"Congrats on being a new owner of Clio 2 !Well,luckily parking bay is designed in a smart way where you don't have to turn up every ramp.","Jun 18 2019, 02:52 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",HeReLiSm,Parking,"Jun 18 2019, 08:01 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",niza san,yes..good design..just wondering why this project dont get so many comment compare to others in this forumhahaha,"Jun 20 2019, 09:28 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",Melbee99,"Too many choices especially current market , and surrounding areas still quiet places eg. Conezion commercial area. Let’s see what will happen at this area.","Jun 21 2019, 12:14 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",ImbaJiet,"Most likely because in people mindset putrajaya quite far away , i think this area quite promising if IOI really focus on this master planFrom what I heard , Conezion quiet as of now cause IOI decided to lease themselves instead of turning to agents cause they want to maintain a standard instead of becoming low class area","Jun 21 2019, 01:42 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",sungjie91,Just got mine's last month. Last minute HOC rush.,"Jul 2 2019, 05:32 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",babygrand123,It seem this project not getting a good response ? but why ? nearby IOI city mall no good ?,"Jul 3 2019, 09:19 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",fa2din,Booked mine last weekend!Got the 1023 sqft unit. But I actually like the layout where the master bedroom is at the other side to bedroom 2 & 3. Compared to the layout where all rooms are at one side. Bringing my wife to IOI Galleria this weekend to check it out one more time.,"Jul 3 2019, 10:02 AM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",sungjie91,Nice. Which floor? Facing IOI? Myself bought the same B1 layout.,"Jul 3 2019, 02:33 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",frey95,"I think is not about IOI city a mall good or no good. If you buyijg for own stay it is still depend on your work location actually. You still need to work to feed your house and spend on mall 😂.Buy for invest is lack of catalyst short term and uncertainty for long term.The location still far and lack of public transport, not so favour compare to recent condo that ppl advertising.But the layout, arrangement and package given really nice. Very attractive when visit thier show unit.","Jul 3 2019, 03:47 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",rastablank,What is the current package and rebate for Clio 2?,"Jul 3 2019, 04:33 PM"
"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",ahkit123,The conezion shoplots beside ready open look nice,"Jul 3 2019, 04:42 PM"
