thread_name,username,post_content,posted_at
THE CRUISE @ BANDAR PUTERI PUCHONG ,VincentProperty,who is the developer? project detail?,"Mar 15 2016, 09:52 AM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,keane04,Bandar Puteri Puchong gotta be IOI. Is this project next to columbia asia?,"Mar 15 2016, 02:31 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,ChuiChuiShui,Hmm...from the developer of emporis?,"Mar 15 2016, 04:03 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,TSaccetera,From IOI Prop.,"Mar 15 2016, 05:28 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,coral_bay,Following...,"Mar 17 2016, 04:28 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,propusers,cheaper than le pavillion?,"Mar 17 2016, 05:59 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,juasve,Looking forward,"Mar 17 2016, 11:03 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,vour8,Another condo i see,"Mar 18 2016, 12:55 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,sniffsniff,Following,"Mar 18 2016, 01:42 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,HELLO HELLO,another lousai skypod the skypiak?,"Mar 18 2016, 01:58 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,Time Walker,any update for this project?,"May 17 2016, 02:01 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,keane04,next to columbia asia?was at ioi galleria. sa told me it's gonna be 300+ units of serviced apartment size 700-800sf,"Sep 3 2016, 09:33 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,Espionage,Avoid ioi at all cost,"Sep 3 2016, 09:35 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,wil-i-am,Did the SA reveal when they gonna launch?,"Sep 3 2016, 09:47 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,nexona88,don't understand? can explain,"Sep 3 2016, 10:22 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,geolee76,this guy has been going around every thread with trademark remarkavoid (fill in the blank ) at all coste.g. avoid cbj at all costLoL,"Sep 3 2016, 10:41 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,nexona88,okay. was thinking any particular reason that I don't know about,"Sep 3 2016, 10:45 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,keane04,They say dunno yet. But looks like foundation done already.,"Sep 3 2016, 11:33 PM"
THE CRUISE @ BANDAR PUTERI PUCHONG ,wil-i-am,How about indicative pricing (i.e. psf)?,"Sep 3 2016, 11:46 PM"
