,sentences,users,date,sentiment_score
0,"developer, project, detail",VincentProperty,"Mar 15 2016, 09:52 AM",0.0
1,"bandar, puteri, puchong, ioi, project, columbia, asia",keane04,"Mar 15 2016, 02:31 PM",0.0
2,"hmm, ..., developer, emporis",ChuiChuiShui,"Mar 15 2016, 04:03 PM",0.0
3,"ioi, prop",TSaccetera,"Mar 15 2016, 05:28 PM",0.0
4,"follow, ...",coral_bay,"Mar 17 2016, 04:28 PM",0.0
5,"cheap, le, pavillion",propusers,"Mar 17 2016, 05:59 PM",0.0
6,"look, forward",juasve,"Mar 17 2016, 11:03 PM",0.0
7,condo,vour8,"Mar 18 2016, 12:55 PM",0.0
8,follow,sniffsniff,"Mar 18 2016, 01:42 PM",0.0
9,"lousai, skypod, skypiak",HELLO HELLO,"Mar 18 2016, 01:58 PM",0.0
10,"update, project",Time Walker,"May 17 2016, 02:01 PM",0.0
11,"columbia, asia?was, ioi, galleria, sa, tell, 300, unit, service, apartment, size, 700, 800sf",keane04,"Sep 3 2016, 09:33 PM",0.0
12,"avoid, ioi, cost",Espionage,"Sep 3 2016, 09:35 PM",-0.296
13,"sa, reveal, launch",wil-i-am,"Sep 3 2016, 09:47 PM",0.0
14,"understand, explain",nexona88,"Sep 3 2016, 10:22 PM",0.0
15,"guy, thread, trademark, remarkavoid, coste.g, avoid, cbj, costlol",geolee76,"Sep 3 2016, 10:41 PM",-0.296
16,"okay, think, particular, reason, know",nexona88,"Sep 3 2016, 10:45 PM",0.2263
17,"dunno, look, like, foundation",keane04,"Sep 3 2016, 11:33 PM",0.3612
18,"indicative, pricing",wil-i-am,"Sep 3 2016, 11:46 PM",0.0
19,,TSaccetera,"Sep 3 2016, 11:50 PM",0.0
20,"high, le, pavillion, dunno, wild, guess, start, 500k++",keane04,"Sep 3 2016, 11:51 PM",0.0
21,"yes, pat, kor, ioi, cash, rich, ma, puteri, hill, sell, ...",keane04,"Sep 3 2016, 11:54 PM",0.743
22,"ic, ...",TSaccetera,"Sep 4 2016, 12:00 AM",0.0
23,"wip, actively",kozakee,"Sep 4 2016, 06:22 PM",0.3182
24,update,ISawYou,"Sep 13 2016, 12:26 AM",0.0
25,"any1, know, project, sell, price, sqft",~PropertyLover,"Oct 7 2016, 10:50 AM",0.0
26,"cruise, le, pavilion, term, pricing",alextyw85,"Oct 7 2016, 11:11 AM",0.0
27,"le, pavilion, unsold, unit, pricing, guess, new, project, build, sell, .., irregardless, price, high, le, pavilion, position, unsold, le, pavilion, special, super, small, unit, price, competitively, psf, compare, le, pavilion",sameday,"Oct 9 2016, 09:15 AM",0.765
28,"think, high, psf, price, small, unit, low, absolute, price, different, product",keane04,"Oct 9 2016, 09:17 AM",-0.2732
29,"idea, probably, hv, price, construction, storey",keane04,"Oct 9 2016, 10:31 AM",0.0
30,"share, pics?its, le, pavillion",dekatana,"Oct 9 2016, 11:01 AM",0.296
31,"pic, recently, columbia, asia",keane04,"Oct 9 2016, 07:04 PM",0.0
32,"idea, rio, city",quicksilver9832,"Jul 21 2018, 08:40 AM",0.0
33,"ioi, cruise, ship, sink, leh, picture, look, like, rise, high, high",GreenHulk555,"Jul 22 2018, 04:52 PM",0.3612
34,"build, sell, ..., hebat, ..",TSaccetera,"Jul 22 2018, 06:45 PM",0.0
35,"news, selling, price, sqft",thpace,"Oct 4 2018, 01:17 PM",0.0
