,sentences,users,date,sentiment_score
0,"congrat, thread, v2",wil-i-am,"Jun 22 2015, 10:27 AM",0.0
1,"track, ...., proposal, chinese, primary, school, developer",elmond,"Jun 22 2015, 10:37 AM",0.0
2,"proposal, sekolah, kebangsaan",simplest,"Jun 22 2015, 02:48 PM",0.0
3,"sekolah, kebangsaan, sekolah, menengah, kebangsaaan, sekolah, agama, approve, plan, sd, allocate, land, ..., tak, tau, bila, gomen, buat",lanrambai,"Jun 22 2015, 03:13 PM",0.0
4,"sign, 2, consensus, form",ykit_88,"Jun 22 2015, 04:08 PM",0.0
5,parking,achongs,"Jun 22 2015, 04:14 PM",0.0
6,"form, sign, collect, key",YnWa77,"Jun 22 2015, 04:57 PM",0.0
7,,ykit_88,"Jun 22 2015, 05:13 PM",0.0
8,"add, pic, vp, unit",TSjeghui,"Jun 23 2015, 03:37 AM",0.0
9,parking,syaad,"Jun 23 2015, 07:16 AM",0.0
10,"sd, proposal, build, perimeter, fence, elmina, garden, good, effort, residence, start, imagine, g&g, concept, elmina, garden, realize",syaad,"Jun 23 2015, 07:19 AM",0.4404
11,"https://m.youtube.com/watch?v=5s46eafa_i8&feature=youtu.befootage, elmina, explore, carnival, 30, 2015.enjoy",YnWa77,"Jun 23 2015, 06:38 PM",0.0
12,"elmina, masterplan, ariza, elmina, garden, ariza, entitle, perimeter, fencing?correct, wrong, ...",chelsea2013,"Jun 23 2015, 08:50 PM",-0.4767
13,"yes, notice, elmina, garden, master, plan, ariza, school, locate, outside, elmina, garden, circle, zone, sd, design, construct, perimeter, fence, merge, elmina, garden, circle, perimeter, fencing",syaad,"Jun 23 2015, 09:04 PM",0.4019
14,"thank, clarification, ya, hopefully, create, safety, sustainable, environment, resident, elmina, aka, eliminians, ....",chelsea2013,"Jun 23 2015, 09:11 PM",0.8442
15,"think, elm",zerol410,"Jun 24 2015, 01:17 PM",0.0
16,"seriously??a, week, mbb, rm980k",zerol410,"Jun 24 2015, 01:18 PM",0.0
17,"hehehe, .., wait, news, sd, want, launch, 20x70, double, storey, house, .., want, buy",achongs,"Jun 24 2015, 01:35 PM",0.1531
18,"elmins"", lol",ykit_88,"Jun 24 2015, 02:18 PM",0.4215
19,"perimeter, fencing, elmina, garden, fencing, crista, regia, aralia, keana, garinia, etc, individually",emeryn,"Jun 24 2015, 02:34 PM",0.0
20,"1million+++, 😵, .., want, market, response, ..",achongs,"Jun 24 2015, 06:24 PM",0.0772
21,"meaning, perimeter, fencing, fence, cover, circle, big, area, zone, small, area",syaad,"Jun 24 2015, 09:35 PM",0.0
22,"certainly, crazy, right, unit, worth, 1.3, mil",chelsea2013,"Jun 24 2015, 09:45 PM",0.2263
23,"think, price, end, unit, intermediate, unit, price, correct, ..., wowllaaaaaa, 👍, 😄",syaad,"Jun 24 2015, 09:55 PM",0.0
24,"price, correct, owner, buy, staff, price, 2, year, ago, ....., wowllaaaaaaaaaaaa",chelsea2013,"Jun 24 2015, 10:20 PM",0.0
25,"unit, regia, regia, superlink, type, 30x69, start, price, 838,888",syaad,"Jun 24 2015, 10:43 PM",0.0
26,"elms, elminians, sound, like, ra, group, lamanians",TSjeghui,"Jun 25 2015, 08:17 AM",0.3612
27,"elmins, elminians, elm, sound, like, ancient, tree, creature",ykit_88,"Jun 25 2015, 08:22 AM",0.3612
28,"plan, vicinity, chinese, school, certainly, big, booster, property, price, lack, area",kheekuan,"Jun 25 2015, 10:12 AM",0.0258
29,"yes, .., hopefully, build, complete, time, young, daughter, 3, year, btw, ..., think, need, lock, old, thread, nanti, ada, yang, tulis, di, situ",lanrambai,"Jun 25 2015, 12:59 PM",0.6597
30,,zerol410,"Jun 25 2015, 04:13 PM",0.0
31,"regia, end, lot, unit, 1.3mill, end, lot, regia, sell, 950k, intermediate, launch, price, 838,888, sell, 950k, early, bout, 110k, hmmm, ..., think, 200k, tim, ...",emeryn,"Jun 26 2015, 11:09 PM",0.0
32,"moment, ariza, /-200k, subsale, ...",chelsea2013,"Jun 29 2015, 06:46 PM",0.0
33,"dash, partly, approve",ykit_88,"Jun 29 2015, 07:10 PM",0.0
34,"good, news, eventhough, partly, approve, 😄",syaad,"Jun 29 2015, 10:09 PM",0.4404
35,"yeah, ...., far, increase, property, value",chelsea2013,"Jul 1 2015, 11:50 AM",0.7096
36,"maybank, value, intermediate, regia, 1m.",zerol410,"Jul 1 2015, 11:34 PM",0.34
37,"wow, eat, steak",anuarsim,"Jul 1 2015, 11:53 PM",0.5859
38,"key, ..., ariza, value",TSjeghui,"Jul 1 2015, 11:57 PM",0.34
39,wow,nexona88,"Jul 2 2015, 12:41 AM",0.5859
40,"angle, problem, car, porch, short, ngam, ngam, park, ..., hilux, sure",KimiLau,"Jul 2 2015, 05:08 AM",-0.1027
41,"good, indication, kipidap",syaad,"Jul 2 2015, 11:06 AM",0.4404
42,"got, believe, lucky, face, garden",TSjeghui,"Jul 2 2015, 11:39 AM",0.4215
43,"propwall, rm700k",elmond,"Jul 2 2015, 12:31 PM",0.0
44,"overall, rate, ariza, build, quality",syaad,"Aug 1 2015, 12:11 PM",0.0
45,"ariza, vp, early, s&p, date",ykit_88,"Aug 3 2015, 01:44 AM",0.0
46,"shud, angle, problem, easily, fit, 4, myvis",buggie,"Aug 3 2015, 08:53 AM",0.296
47,"hello, forumer, plan, sell, unit, elmina, regia, party, interest, u, contact, pm, thank, b, u, 2631sqftl, 30x69rooms, 4, 1bath, 5intermediate, unitfreeholdprice, rm, 980k",Lord G,"Aug 4 2015, 02:33 AM",0.802
48,"planning, sell",simplest,"Sep 3 2015, 07:10 PM",0.0
49,"price, right",TSjeghui,"Sep 4 2015, 09:34 AM",0.0
50,"quiet, forum, ..., 😄, btw, christa, buyer, here?could, share, late, picture, cheer",syaad,"Sep 4 2015, 09:39 AM",0.6705
51,"elmina, site, 2, week, ago, img_0561.mov, number, download, 347, img_0538.mov, number, download, 174",utellme,"Sep 4 2015, 11:29 AM",0.1531
52,...,utellme,"Sep 6 2015, 12:16 PM",0.0
53,"thanks, 👍",syaad,"Sep 6 2015, 12:22 PM",0.4404
54,"house, phase, 2, keana, heavy, rain, month, find, rain, water, flow, directly, roof, room, 1, upstairs, roof, wet, kitchen, survey, outside, house, discover, gutter, downpipe, discharge, rain",linafooo,"Oct 27 2015, 11:50 AM",0.0
55,"sorry, time, post, forum, good, job, post, attachment, thousand, apology, experience, adviser, advise, purchaser, particular, phase, issue, developer, resolve, rectify, problem",linafooo,"Nov 1 2015, 11:33 PM",0.5994
56,"total, unbilled, sale, stand, rm1.3, billion, june, 30, 2015, group, target, launch, rm2, billion, rm2.5, billion, worth, property, project, fy16, elmina, west, expect, roll, january, 2016, start, link, house, rm600,000, rm800,000, unit.600k, 800khttp://www.theedgemarkets.com/my/article/s...ected-be-zero-5",MusicForLife,"Nov 2 2015, 09:39 AM",0.2263
57,"quiet, ..., launch",TSjeghui,"Nov 2 2015, 10:56 AM",0.0
58,"wait, year, bro, 20x60, dsl, year, end, normally, launch, sdp, break",BRE,"Nov 2 2015, 11:14 AM",0.0
59,"wait, year, bro, 20x60, dsl, year, end, normally, launch, sdp, break!no, break, guess, december, need, start, push, promote, new, launch, xd",MusicForLife,"Nov 2 2015, 01:41 PM",0.7712
60,"quoteno, break, guess, december, need, start, push, promote, new, launch, xdok, let, prop, launch, year, end, bro, prop, like, nb, cantara, ph, soho, etc, postpone, countless, time",BRE,"Nov 2 2015, 02:53 PM",0.4939
61,"elmina?sime, darby, property, build, 4,600, affordable, house, government, link, company, build, additional, 800, home, mass, rapid, transit, stations.-, http://www.themalaymailonline.com/malaysia...h.fokocery.dpuf",elmond,"Nov 2 2015, 02:55 PM",0.0
62,"quoteok, let, prop, launch, year, end, bro, prop, like, nb, cantara, ph, soho, etc, postpone, countless, times!i, think, elmina, west, consider, main, project, year, imagine, earn, money, delay",MusicForLife,"Nov 2 2015, 03:04 PM",-0.2481
63,"quotedo, elmina?sime, darby, property, build, 4,600, affordable, house, government, link, company, build, additional, 800, home, mass, rapid, transit, stations.-, http://www.themalaymailonline.com/malaysia...h.fokocery.dpufsdp, plan, build, affordable, home, south, elmina, east",BRE,"Nov 2 2015, 03:05 PM",0.0
64,"quotei, think, elmina, west, consider, main, project, year, imagine, earn, money, delay, yes, elmina, west, main, project, year, big, piece, land, lot, dsl, come, elmina, west, accord, comment, early, forummer, price, start, 600k+, onwards, 20x60, dsl, susah, sell, slow, market",BRE,"Nov 2 2015, 03:25 PM",0.1027
65,"quoteyes, elmina, west, main, project, year, big, piece, land, lot, dsl, come, elmina, west, accord, comment, early, forummer, price, start, 600k+, onwards, 20x60, dsl, susah, sell, slow, market!600k, landed, sure, finish, internal, sound, like, elmina, east, phase",elmond,"Nov 2 2015, 04:47 PM",0.6239
66,"quote600k, landed, sure, finish, internal, sound, like, elmina, east, phasesdp, nt, bad, la, bro, sure, leave, customer, kena, kutuk, like, mad, ask, public, visit, sale, office, wind",BRE,"Nov 2 2015, 04:50 PM",0.1779
67,"quote600k, landed, sure, finish, internal, sound, like, elmina, east, phasequotesdp, nt, bad, la, bro, sure, leave, customer, kena, kutuk, like, mad, ask, public, visit, sale, office, wind!according, sa, phase, 300, unit",MusicForLife,"Nov 2 2015, 04:53 PM",0.2481
68,"semi, d, comingmbsa, osc, s, sek.u16/0168/2015, cadangan, membina, 80, unit, rumah, berkembar, 2, tingkat, dan, 1, unit, pencawang, elektrik, di, no.2, jalan, frekuensi, u16/135, serta, 5, unit, wakaf, di, atas, lot, di, atas, sebahagian, lot, 360, fasa, g6, elmina, seksyen, u16, 40160, shah, alam, selangor, untuk, tetuan, sime, darby, elmina, development, sdn, bhd, oleh, tetuan, sime, darby, elmina, development, sdn, bhd, di, majlis, bandaraya, shah, alam",elmond,"Nov 2 2015, 05:09 PM",0.0
69,"quoteaccorde, sa, phase, 300, unit, walau, 300, unit, manyak, leh, good, investor, look, landed, prop",BRE,"Nov 2 2015, 05:10 PM",0.4404
70,"quotesemi, d, comingmbsa, osc, s, sek.u16/0168/2015, cadangan, membina, 80, unit, rumah, berkembar, 2, tingkat, dan, 1, unit, pencawang, elektrik, di, no.2, jalan, frekuensi, u16/135, serta, 5, unit, wakaf, di, atas, lot, di, atas, sebahagian, lot, 360, fasa, g6, elmina, seksyen, u16, 40160, shah, alam, selangor, untuk, tetuan, sime, darby, elmina, development, sdn, bhd, oleh, tetuan, sime, darby, elmina, development, sdn, bhd, di, majlis, bandaraya, shah, alamat, price",zzzhhhzzz,"Nov 2 2015, 05:13 PM",0.0
71,"quotesemi, d, comingmbsa, osc, s, sek.u16/0168/2015, cadangan, membina, 80, unit, rumah, berkembar, 2, tingkat, dan, 1, unit, pencawang, elektrik, di, no.2, jalan, frekuensi, u16/135, serta, 5, unit, wakaf, di, atas, lot, di, atas, sebahagian, lot, 360, fasa, g6, elmina, seksyen, u16, 40160, shah, alam, selangor, untuk, tetuan, sime, darby, elmina, development, sdn, bhd, oleh, tetuan, sime, darby, elmina, development, sdn, bhd, di, majlis, bandaraya, shah, alamquotehttps://forum.lowyat.net/index.php?showtopi...post&p=72470779base, previous, post, yes, semi, d.and, know, info",MusicForLife,"Nov 2 2015, 05:15 PM",0.4019
72,"quotebase, previous, post, yes, semi, d., chart, elmina, west, elmina, east, master, plan",elmond,"Nov 2 2015, 09:08 PM",0.4019
73,"quoteno, chart, elmina, west, elmina, east, master, plan, think, sdp, plan, categorize, east, premium, west, slightly, low, range",MusicForLife,"Nov 2 2015, 09:08 PM",-0.204
74,"quotei, think, sdp, plan, categorize, east, premium, west, slightly, low, range?there, thing, selangor, township, development, low, cost, medium, low, cost, medium, cost",elmond,"Nov 2 2015, 09:19 PM",-0.5301
75,"quoteat, price, propose, build, elmina, east, west",kheekuan,"Nov 13 2015, 12:06 PM",0.0
76,"quotethere, thing, selangor, township, development, low, cost, medium, low, cost, medium, costthe, apply, ara, damansara, tropicana",kheekuan,"Nov 13 2015, 12:18 PM",-0.4939
77,"quoteis, propose, build, elmina, east, west?elmina, east, elmina, garden, phase, g6",elmond,"Nov 13 2015, 12:20 PM",0.0
78,"hi, m, new, s, d, different, elmina, west, east, budget, 720k, get?anymore, new, phase",prince_mk,"Nov 13 2015, 02:35 PM",0.0
79,"hear, elmina, west, launch, early, year, ard, 600k+, yes",prince_mk,"Nov 13 2015, 04:12 PM",0.4019
80,"20x60, dsl, bro, 600k+, u, think, worth, buying?buy, greenwoods, suria, warisan, sepang, la, cheap, land, area, oso, big",BRE,"Nov 13 2015, 04:40 PM",0.2263
81,"ee, ew, separate, guthrie, highway, 1st, phase, ee, ew, launch, year",BRE,"Nov 13 2015, 05:37 PM",0.0
82,"choice, coz, sepang, waa, far, frm, parent, place, segambut, elmina, d, near, township, afford, elmina, west, newly, launch, 20, x, 60, 20, x, 70, insider, news",prince_mk,"Nov 13 2015, 07:21 PM",0.0
83,"20x60, 20x70do, check, thread.https://forum.lowyat.net/index.php?showtopi...post&p=74057479https://forum.lowyat.net/index.php?showtopi...post&p=72470779",elmond,"Nov 13 2015, 10:29 PM",0.0
84,"simedarby, fb, reply, tentatively, february",MusicForLife,"Nov 13 2015, 10:31 PM",0.0
85,"feb, 2016, sd, launch, rt7, elmina, vale, .., 7, phase, interprate, plan",prince_mk,"Nov 14 2015, 09:16 AM",0.0
86,"wonder, difficult, secure, loan, property, near, htc",MusicForLife,"Nov 14 2015, 01:36 PM",-0.0258
87,"wonder, cheap",prince_mk,"Nov 14 2015, 01:50 PM",0.0
88,"abt, new, phase, far, away, frm, htc, sewerage?any, info, hope, u, guy, share",prince_mk,"Nov 14 2015, 03:33 PM",0.6249
89,"anymore, new, phase, rt7, launch, feb, 2016, coz, suitable, big, sewerage, htc, anymore, launch, elmina, east, elmina, west, year, budget, 700k, choice, consider, ariza",prince_mk,"Nov 14 2015, 03:42 PM",0.0
90,ariza,Kyx,"Nov 14 2015, 03:46 PM",0.0
91,"rm, 730k, believe, sell, 750k",buggie,"Nov 14 2015, 04:19 PM",0.0
92,"elmond, sifu, share, blueprint, like, attach, rt7, htc, sewage",MusicForLife,"Nov 14 2015, 05:19 PM",0.5719
93,"better, ariza, 20x88, vs, 20x60/20x65, ready, unit",cwyan,"Nov 14 2015, 05:27 PM",0.6597
94,"fork, money, stamp, duty, etc, buy, undercon, time, save, money, renovation, hehe",MusicForLife,"Nov 14 2015, 09:33 PM",0.4939
95,"true, true, actually, m, desperate, stay, new, launch, far, away, frm, htc, sewerage",prince_mk,"Nov 14 2015, 10:10 PM",0.5106
96,"try, look, rimbayu, sepang, area, shah, alam, 2",Kyx,"Nov 14 2015, 11:06 PM",0.0
97,"prefer, elmina, nice, township",prince_mk,"Nov 15 2015, 01:57 AM",0.4215
98,"think, buy, investmenti, wonder, original, selling, price, frm, developer",prince_mk,"Nov 15 2015, 02:01 AM",0.3182
99,phase,prince_mk,"Nov 15 2015, 12:37 PM",0.0
100,"copy, clear, too.check, thread, elmina, v1, think, provide, source, link",elmond,"Nov 15 2015, 02:16 PM",0.3818
101,"ya, think, remove, certain, user, download, thank",MusicForLife,"Nov 15 2015, 02:42 PM",0.5574
