post,sentiment
"from the Elmina masterplan, it seems that Ariza is not part of the Elmina Garden.So, is Ariza also entitled for Perimeter Fencing?Correct me if i am wrong...",1
I think the price is for end unit. Not for intermediate unit. But if the price is correct...wowllaaaaaa ðŸ‘ðŸ˜„,1
yeah....!!! further increase our property value,1
wow,1
"I was at my house, phase 2 Keana during a heavy rain last month. Found out that Rain water was flowing down directly from the roof of room 1 upstairs onto the roof of the wet kitchen below. Did a survey from outside the back of the house. Discovered that there was no gutter and downpipe to discharge the rain!",0
"Yes, Elmina West should be their main project next year as that is their biggest piece of land - lots of DSL coming up in Elmina West according to the comments earlier from some forummers but if price starting from 600K+ onwards for a 20x60 DSL, then susah to sell in this slow market!600k for landed, sure finish internal, sound like elmina east first phase",1
"no, the chart for elmina west, this one is elmina east which not in the master plan (from the previous elmina east brochure)I see, I think SDP is planning to categorize East as premium and west as slightly lower range?",0
"I see, I think SDP is planning to categorize East as premium and west as slightly lower range?there have no such thing in selangor, every township development must have low cost, medium low cost, medium cost",0
Hi. I m new here.What s d different between Elmina West and East. Budget 720k. Can get?Anymore new phase here?,1
I think there are many bought for investmentI wonder what is the original selling price frm developer?,1
I bought for 745k. The owners wouldn't budge any lower but their unit was the best location for me. So i took it.There was 1 unit owner willing to sell at 728k. But in front is a vacant land. Heard future will have a mosque there.Another selling for 730k but facing junction. And 1 more selling for 735k but facing vacant land which will be future school.,1
"Your calculation is very prudent as you have factored a higher cost so actual profit is more.Whichever way you look at it, 100K investment to return 56K in 2 years is better than FD of 4% p.a.",1
24x79 is Keana I guess. But also must see budget too. haizz. let me consider first.,1
did you visit the 24x79 before made the purchase?,0
"This dead chicken is the hot issue in BR, now the wind sweeping to Elmina as well?",0
"Exactly what I thought, Ariza they whacked a lot right? 50% +?At least 50k nett profit if they sell now.",1
I guess balloting process still apply for the SDP new launching except property price exceed 1 Mil. The best thing is SDP pay for MOT and SNP legal fee for the new launching so new purchaser save about RM20K for house price RM650K++.,1
Could anyone kindly let me know where is Elmina's sales gallery? It is sharing the same sales gallery of Denai Alam? TQ.,1
"you have another property? share with us, maybe we can share our experience with u.",1
I think the closer Chinese primary school is in kampong baru Subang which is 6km away from elmina.,1
Yes you are taikor..Good data..but it means that Elmina East will be affected pulak..,1
"A fren working as property agent said if majority are chinese, then the property price will shoot up fast.",1
